Node,Mobility,Mobility_speed,packet_Received,packet_Sent,Forwarding_Difference,Energy,num_Received,num_Sent,packet_Drop,Transmission_Power,Attack_type,Type_of_node
R0,RandomWayPoint,4,37,10,161,-1.138122366,1217,1056,0,1.4,Normal,Normal
R1,RandomWayPoint,4,26,2,0,-0.198992862,0,0,0,1.4,Normal,Normal
R2,RandomWayPoint,4,34,4,0,-0.206068118,0,0,0,1.4,Normal,Normal
R3,RandomWayPoint,4,21,2,0,-0.164677882,0,0,0,1.4,Normal,Normal
R4,RandomWayPoint,4,17,2,0,-0.168907607,0,0,0,1.4,Normal,Normal
R5,RandomWayPoint,4,15,2,0,-0.195697185,0,0,0,1.4,Normal,Normal
R6,RandomWayPoint,4,72,7,0,-0.253835847,35,35,0,1.4,Normal,Normal
R7,RandomWayPoint,4,72,8,0,-0.206096548,0,0,0,1.4,Normal,Normal
R8,RandomWayPoint,4,31,4,0,-0.263685063,0,0,0,1.4,Normal,Normal
R9,RandomWayPoint,4,45,14,780,-0.70672103,1101,321,2,1.4,Normal,Normal
R10,RandomWayPoint,4,67,14,8,-0.541900082,267,259,4,1.4,Normal,Normal
R11,RandomWayPoint,4,44,6,0,-0.27467251,0,0,0,1.4,Normal,Normal
R12,RandomWayPoint,4,59,8,73,-0.474852282,305,232,0,1.4,Normal,Normal
R13,RandomWayPoint,4,31,7,0,-0.289554715,0,0,0,1.4,Normal,Normal
R14,RandomWayPoint,4,15,2,0,-0.182954928,0,0,0,1.4,Normal,Normal
R15,RandomWayPoint,4,65,12,0,-0.388110761,281,281,0,1.4,Normal,Normal
R16,RandomWayPoint,4,70,7,0,-0.181613261,0,0,0,1.4,Normal,Normal
R17,RandomWayPoint,4,67,11,2,-0.177862667,3,1,2,1.4,Normal,Normal
R18,RandomWayPoint,4,77,9,0,-0.182053638,0,0,0,1.4,Normal,Normal
R19,RandomWayPoint,4,45,5,0,-0.165352296,40,40,0,1.4,Normal,Normal
R20,RandomWayPoint,4,56,5,0,-0.242641777,0,0,0,1.4,Normal,Normal
R21,RandomWayPoint,4,72,8,0,-0.227179405,0,0,0,1.4,Normal,Normal
R22,RandomWayPoint,4,61,8,0,-0.260300037,0,0,0,1.4,Normal,Normal
A,RandomWayPoint,4,21,2070,-1269,-1.413721165,2,1271,1,1.4,Normal,Normal
B,RandomWayPoint,4,347,9,321,-0.108105845,328,7,1,1.4,Normal,Normal
R0,RandomWayPoint,8,72,7,0,-0.284591289,0,0,0,1.4,Blackhole,Normal
R1,RandomWayPoint,8,91,11,0,-0.285390235,0,0,0,1.4,Blackhole,Normal
R2,RandomWayPoint,8,97,14,565,-0.727835294,924,359,1,1.4,Blackhole,Normal
R3,RandomWayPoint,8,73,7,0,-0.147118541,0,0,0,1.4,Blackhole,Normal
R4,RandomWayPoint,8,92,11,0,-0.254819748,0,0,0,1.4,Blackhole,Normal
R5,RandomWayPoint,8,83,12,1,-0.298667037,3,2,1,1.4,Blackhole,Normal
R6,RandomWayPoint,8,79,12,0,-0.286634742,1,1,0,1.4,Blackhole,Normal
R7,RandomWayPoint,8,98,14,2,-0.185196507,3,1,2,1.4,Blackhole,Normal
R8,RandomWayPoint,8,77,12,72,-0.290231688,73,1,0,1.4,Blackhole,Attacker
R9,RandomWayPoint,8,52,8,0,-0.107329915,0,0,0,1.4,Blackhole,Normal
R10,RandomWayPoint,8,87,14,3,-0.141667815,3,0,5,1.4,Blackhole,Normal
R11,RandomWayPoint,8,74,10,0,-0.285406235,0,0,0,1.4,Blackhole,Normal
R12,RandomWayPoint,8,105,14,159,-0.516567572,429,270,1,1.4,Blackhole,Normal
R13,RandomWayPoint,8,87,10,0,-0.284530846,0,0,0,1.4,Blackhole,Normal
R14,RandomWayPoint,8,61,9,0,-0.233427519,0,0,0,1.4,Blackhole,Normal
R15,RandomWayPoint,8,87,11,0,-0.202926336,1,1,1,1.4,Blackhole,Normal
R16,RandomWayPoint,8,102,12,1,-0.160347459,2,1,2,1.4,Blackhole,Normal
